year,avg,selectedSite,min,max,p10,median,p90
0,0.043426853707414906,,0.016,0.056,0.037,0.043,0.051
1,0.03996533066132269,,0.015,0.053,0.032,0.041,0.048
2,0.03845086840347362,,0.01525,0.054,0.03,0.04,0.045
3,0.03938496993987976,,0.014,0.057,0.032,0.04,0.047
4,0.040678361484874526,,0.01575,0.059,0.033666666666666664,0.04,0.048
5,0.04171507300314921,,0.016,0.065,0.034,0.042,0.049
6,0.041688491268250784,,0.015,0.068,0.034,0.042,0.049
7,0.04189487546521614,,0.017,0.054,0.033,0.043,0.048
8,0.039339335814486155,,0.014,0.057,0.03,0.04,0.047
9,0.034897857620001936,,0.013,0.051,0.026,0.035,0.044
10,0.035166733466933886,,0.012,0.052,0.024,0.036,0.044
11,0.036081954384960396,,0.011,0.058,0.029,0.035,0.045
12,0.036577101822692984,,0.015857142857142858,0.054,0.027,0.038,0.044
13,0.03588677831854181,,0.015285714285714286,0.051,0.028,0.037,0.043
14,0.03645029582975475,,0.008,0.056,0.024,0.038,0.047
15,0.035153492699685034,,0.009,0.058,0.02,0.037,0.047
16,0.034101345548239306,,0.012,0.056,0.022,0.035,0.045
17,0.03513301603206408,,0.01,0.065,0.024,0.036,0.046
18,0.03560063460253837,,0.013,0.052,0.026,0.036,0.046
19,0.036786022044088165,,0.016,0.052,0.027,0.038,0.044333333333333336
20,0.036448029392117526,,0.005,0.057,0.022,0.039,0.048
21,0.035616048764194996,,0.005,0.055,0.021,0.038,0.048
22,0.03536289245156981,,0.007,0.06,0.02,0.037,0.048
23,0.03784393787575153,,0.006,0.055,0.027,0.039,0.049
24,0.04191649966599869,,0.018,0.065,0.033,0.041,0.052
25,0.04130694722778889,,0.017,0.058,0.033,0.042,0.05
26,0.0412585170340681,,0.007,0.057,0.03,0.043,0.05
27,0.041995657982631954,,0.016,0.059,0.033,0.043,0.05
28,0.04427388109552442,,0.016,0.061,0.036,0.044,0.052
29,0.04141282565130264,,0.011,0.06,0.031,0.042,0.05
30,0.040558116232464955,,0.014,0.061,0.031,0.04,0.05
31,0.043983967935871754,,0.017,0.071,0.034,0.044,0.052
32,0.043546092184368744,,0.018,0.067,0.035,0.044,0.052
33,0.04363326653306608,,0.008,0.07,0.03,0.045,0.056
34,0.03965531062124248,,0.005,0.07,0.014,0.043,0.055
35,0.040586506346025376,,0.013,0.061,0.03,0.041,0.051
36,0.041873914495658,,0.017,0.062,0.032,0.042,0.051
37,0.04048530394121574,,0.017,0.093,0.029,0.042,0.049
38,0.039508099532398123,,0.016,0.067,0.028,0.04,0.049
39,0.04184291917167667,,0.014,0.066,0.032,0.043,0.051
40,0.043252388109552425,,0.015,0.06,0.036,0.043,0.052
41,0.04503994655978622,,0.016,0.06,0.036,0.046,0.053
42,0.04113020434809011,,0.015,0.056,0.032,0.042,0.049
43,0.04008218558328776,,0.015,0.056,0.031,0.04,0.049
44,0.04305247009169857,,0.016,0.055,0.035,0.044,0.051
45,0.0455426276796016,,0.018,0.063,0.038,0.046,0.054
46,0.04728846329021681,,0.013,0.063,0.039,0.048,0.056
47,0.04416452602174041,,0.013,0.075,0.034,0.045,0.053
48,0.04065581921418595,,0.015,0.061,0.029,0.041,0.05
49,0.04066765348879581,,0.01,0.058,0.027,0.041,0.053
50,0.04439505222566342,,0.016,0.072,0.035,0.044,0.054
51,0.046956953300540394,,0.014,0.07,0.038636363636363635,0.047,0.055
52,0.04524296927187707,,0.014,0.07,0.033,0.0452,0.056
53,0.045845223780895054,,0.015,0.082,0.034,0.047,0.056
54,0.04640965263861053,,0.016,0.088,0.035,0.045,0.058
55,0.046330126920507635,,0.014,0.093,0.036,0.045,0.056
56,0.04686950567802274,,0.017,0.088,0.037,0.046,0.056
57,0.04780434201736805,,0.015,0.079,0.038,0.048,0.056
58,0.04796362725450903,,0.013,0.099,0.037,0.047,0.059
59,0.04757147628590506,,0.012,0.104,0.037,0.047,0.06
60,0.04837424849699395,,0.021,0.099,0.037,0.048,0.059
61,0.051446960587842386,,0.02,0.083,0.03933333333333333,0.052,0.061
62,0.049026519706078735,,0.011,0.08,0.036,0.049,0.062
63,0.04834555778223108,,0.019,0.08133333333333333,0.04,0.049,0.057
64,0.04774108216432865,,0.016,0.08266666666666667,0.036,0.048,0.058
65,0.047150467601870444,,0.016,0.099,0.034,0.045,0.063
66,0.050430193720774896,,0.018,0.114,0.037,0.048,0.066
67,0.05329275217100872,,0.019,0.113,0.042499999999999996,0.05,0.066
68,0.04871693386773548,,0.016,0.105,0.035,0.046,0.064
69,0.0482369739478958,,0.018,0.096,0.034,0.046,0.066
70,0.048439712758851027,,0.018,0.077,0.039,0.047,0.06
71,0.046199064796259154,,0.017,0.074,0.0335,0.046,0.058
72,0.044076238002320405,,0.017,0.066,0.035,0.044,0.054
73,0.04386476725380589,,0.017,0.06,0.032,0.045,0.053
74,0.04447260178251242,,0.014,0.069,0.033,0.046,0.054
75,0.044846802376683176,,0.017,0.07200000000000001,0.035,0.045,0.055
76,0.043780121207326904,,0.014,0.083,0.031,0.043,0.056
77,0.04157583148753642,,0.013,0.06425,0.03,0.043,0.054
78,0.04360100068558166,,0.02,0.086,0.032,0.042,0.059
79,0.043535321520233435,,0.021,0.086,0.032,0.042,0.057
80,0.04155222418521249,,0.014,0.068,0.028,0.041,0.056
81,0.04347143145941004,,0.018,0.078,0.029500000000000002,0.042,0.058
82,0.04283265610167699,,0.016,0.067,0.027,0.042,0.058
83,0.04102187959879661,,0.017,0.065,0.027,0.041,0.055
84,0.04109405948488457,,0.017,0.078,0.028,0.04,0.055
85,0.04149756869628986,,0.018,0.093,0.028,0.04,0.057
86,0.04300812533588484,,0.016,0.105,0.027,0.04,0.064
87,0.042625428802467065,,0.015,0.111,0.027,0.042,0.059
88,0.041393007820151595,,0.011,0.108,0.023,0.041,0.058499999999999996
89,0.04156806846776255,,0.015,0.082,0.026,0.042,0.056
90,0.042611222444889754,,0.015,0.069,0.03,0.043,0.054
91,0.042531062124248446,,0.015,0.066,0.031,0.043,0.054